序號,類別,課程名稱,日期,時間,參加人數
"1","政策性","地政主管與一般使用者資安教育訓練","111/1/13","13:30-16:30","19"
"2","政策性","地政主管與一般使用者資安教育訓練","111/1/13","09:00-12:00","32"
"3","專業性","中級暨中高級客語認證輔導班","111/3/1-111/9/13","13:30-15:30","19"
"4","專業性","簡報與登台表達技巧研習","111/3/17","09:00-16:30","39"
"5","職能","111年上半年新竹縣公務統計教育訓練","111/3/25","09:00-12:00","34"
"6","專業性","AIoT的智慧未來研習班","111/3/31","13:30-16:30","71"
"7","職能","新竹縣政府111年度法規講習會","111/4/13","09:10-12:10","32"
"8","專業性","大數據分析與視覺化報表研習","111/4/14","09:00-16:30","31"
"9","職能","111年度薦任公務人員晉升簡任官等訓練心得分享座談會","111/4/15","14:30-16:00","20"
"10","專業性","飛進未來-無人機的服務案例與趨勢","111/4/19","13:30-16:30","35"
"11","職能","【人事研習】公務人員請假規則及差勤管理法規與實務 (含天然災害)(專任人事報名區)","111/4/28","13:00-16:30","68"
"12","職能","【人事研習】公務人員保障法法規與實務(專任人事報名區)","111/4/28","08:30-12:00","27"
"13","專業性","新聞寫作研習課程：第二梯次「新聞稿寫作技巧」","111/4/29","09:00-12:00","54"
"14","其它","新竹縣政府員工協助方案-「重大壓力事件管理」","111/4/6","14:00-16:00","44"
"15","專業性","多媒體剪輯與公務行銷","111/4/7","09:00-16:30","36"
"16","專業性","新聞寫作研習課程：第一梯次「媒體公關及危機處理」","111/4/8","09:00-12:00","73"
"17","政策性","兩公約教育訓練(第二梯)","111/5/11","13:20-16:10","27"
"18","職能","【人事研習】讓數據說話：基礎統計運用入門(專任人事報名區)","111/5/20","13:00-16:30","25"
"19","職能","【人事研習】公務員服務法法規及實務(含兼職)(專任人事報名區)","111/5/20","08:30-12:00","29"
"20","專業性"," Kevin 告訴你英文真的不難 ","111/5/25","13:30-16:30","52"
"21","專業性","守護我們的寶貝-嬰幼兒急救宣導活動","111/5/27","13:30-16:00","19"
"22","職能","電子郵件社交工程","111/5/30","09:00-12:00","23"
"23","政策性","資通安全宣導","111/5/30","13:00-16:00","38"
"24","政策性","兩公約教育訓練(第一梯)","111/5/4","13:20-16:10","46"
"25","政策性","優先採購身心障礙福利機構團體或庇護工場生產物品及服務-優先採購網路資訊平台教育訓練","111/5/9","14:00-16:00","56"
"26","職能","【人事研習】人事業務常見問題(或錯誤)案例探討(專任人事報名區)","111/6/1","11:00-16:30","26"
"27","職能","【人事研習】人事人員應有的角色與作為(專任人事報名區)","111/6/1","08:30-11:00","31"
